Column1;Column2;Column3;Column4;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
13:44:47;232;53302;416,42;0,67;0,621;0,868;1,84;2,06;0,172;35,7;8,5;7,7
13:44:48;233;54075;422,46;0,661;0,611;0,861;1,77;2,54;0,175;35,7;9,4;8,5
13:44:49;234;55559;434,05;0,642;0,592;0,841;16,77;18,03;0,288;35,7;8,9;7,9
13:44:50;235;61294;478,86;0,582;0,535;0,777;8,82;2,04;0,17;35,7;8,7;8
13:44:51;236;57518;449,36;0,621;0,57;0,823;29,86;28,78;0,412;35,7;9,3;8,4
13:44:52;237;58249;455,07;0,613;0,561;0,822;15,8;15,07;0,322;35,7;8,5;7,6
13:44:53;238;60173;470,1;0,594;0,544;0,788;8,95;7,47;0,177;35,7;8,7;8
13:44:54;239;61063;477,05;0,585;0,536;0,782;15,67;14,84;0,244;35,7;8,7;8
13:44:55;240;55089;430,38;0,648;0,598;0,848;2,88;2,3;0,176;35,7;8,5;7,7
13:44:56;241;58470;456,8;0,61;0,559;0,81;13,67;15,43;0,249;35,7;8,8;7,7
13:44:57;242;57175;446,68;0,625;0,575;0,82;1,81;2,2;0,17;35,7;9,3;8,4
13:44:58;243;59960;468,44;0,596;0,547;0,789;1,76;2,13;0,169;35,7;8,6;7,7
13:44:59;244;56190;438,98;0,635;0,584;0,837;16,26;15,48;0,238;35,7;9,2;8,4
13:45:00;245;53653;419,16;0,665;0,613;0,869;8,93;9,49;0,223;35,7;8,9;8
13:45:01;246;57867;452,09;0,617;0,567;0,816;23,29;21,1;0,296;35,7;9,2;8,4
13:45:02;247;59614;465,73;0,6;0,55;0,794;1,65;1,95;0,166;35,7;8,6;7,7
13:45:03;248;57801;451,57;0,618;0,567;0,82;18,26;17,12;0,336;35,7;9,5;7,8
13:45:04;249;56157;438,73;0,636;0,585;0,838;15,25;9,1;0,24;35,7;9,3;8,3
13:45:05;250;52726;411,92;0,677;0,627;0,878;8,8;9,3;0,207;35,7;9,3;8,2
13:45:06;251;52059;406,71;0,686;0,634;0,893;21,06;21,48;0,341;35,7;8,6;7,6
13:45:07;252;58689;458,51;0,609;0,558;0,81;1,8;2,07;0,172;35,7;9,4;8,4
13:45:08;253;54608;426,63;0,653;0,604;0,852;5;4,16;0,177;35,7;9,3;8,3
13:45:09;254;59964;468,47;0,596;0,545;0,794;17,21;11,97;0,243;35,7;9;8
13:45:10;255;58153;454,32;0,614;0,563;0,813;9,71;8,26;0,216;35,7;8,6;7,7
13:45:11;256;57513;449,32;0,622;0,568;0,832;19,36;18,22;0,4;35,8;8,4;7,5
13:45:12;257;47241;369,07;0,757;0,708;0,954;6,06;3,96;0,196;35,8;8,1;6
13:45:13;258;51671;403,68;0,69;0,641;0,888;1,92;2,17;0,188;35,7;8,7;7,7
13:45:14;259;53847;420,68;0,665;0,614;0,87;24,22;23,07;0,327;35,8;7,4;6,8
13:45:15;260;53217;415,76;0,671;0,622;0,872;7,67;8,03;0,224;35,7;7,7;6,9
13:45:16;261;53609;418,82;0,667;0,617;0,869;11,19;8,36;0,24;35,7;8,7;7,8
13:45:17;262;49588;387,41;0,72;0,671;0,917;1,89;2,45;0,187;35,7;8,2;7,5
13:45:18;263;56715;443,09;0,63;0,581;0,826;15,87;15,17;0,22;35,7;15,2;7,1
13:45:19;264;56369;440,38;0,634;0,584;0,837;17,29;18,22;0,279;35,7;8,1;7,3
13:45:20;265;52825;412,7;0,676;0,625;0,877;1,86;2,09;0,178;35,7;8,3;7,6
13:45:21;266;55999;437,49;0,638;0,589;0,835;1,83;2,14;0,173;35,7;8;7,3
13:45:22;267;53600;418,75;0,666;0,618;0,861;1,88;2,1;0,176;35,7;8;7,3
13:45:23;268;55441;433,13;0,645;0,597;0,842;8,91;6,6;0,196;35,7;8,1;7,4
13:45:24;269;54163;423,15;0,659;0,609;0,863;24,94;18,83;0,384;35,7;8,7;7,9
13:45:25;270;51719;404,05;0,691;0,643;0,886;7,95;7,69;0,207;35,8;7,6;7
13:45:26;271;50540;394,84;0,707;0,658;0,905;8,24;11,31;0,19;35,7;8,2;7,5
13:45:27;272;55317;432,16;0,645;0,596;0,844;6,58;7,99;0,179;35,7;8,6;7,7
